GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
27161790300,10.62176166,1.9,18.66359447,3.7,6.4,20.5,23.7053715,9.4,2.22734255,0.101317123,6.17561917,0,1.2,0.768049155,0.8,0
42065951100,17.3224188,3.1,16.7251462,5.9,1.7,25.6,16.27358491,18.4,2.807017544,0.055881531,2.987421384,0.434546442,8.5,0.935672515,3.7,0
36119008401,2.110311751,3.6,9.752547307,1.8,2.8,18.1,26.23501199,10.7,2.328966521,1.100052383,12.61390887,4.032258065,0,1.164483261,3.6,0
26047970500,18.89552854,4.6,20.32437912,7.5,10.1,18.2,20.29672368,12.7,4.358844399,0.304017372,9.066556769,2.840280339,12.6,1.115053218,4,0.391510406
22051027701,37.85444234,10.1,44.06370656,13.2,8.1,12.4,31.11216131,17.4,23.64864865,0.747282609,96.04599874,1.973382285,0,3.281853282,11,0
20147475300,19.95143667,1.7,22.18597064,6.5,6,24.3,20.60535506,20.8,5.464926591,1.111568547,6.014745828,6.237148732,3,2.610114192,9.8,3.531237873
6061021039,10.79136691,0,22.34273319,1.5,0,87.6,0.850228908,24.1,0,0,8.829300196,0,0.9,0,1.8,0
48121020205,18.3511877,2.4,18.87323944,16.8,10.8,16.6,21.34369287,14.6,6.338028169,4.87804878,20.88665448,0,18.2,1.126760563,0.7,1.691042048
47143975100,23.91073326,4.2,22.41294752,17,6.1,23.7,19.0376569,21.3,5.345757724,0,0.376569038,0.282599919,22.4,0,6.7,2.343096234
1073005910,25.63758389,7.1,28.81711409,6.7,7.5,11.9,23.58754736,23.1,11.61912752,0,92.9830341,13.93092744,0,2.390939597,15.6,0.18118926
1055010505,15.40102389,1.3,23,11.2,5,24.3,25.98122867,18.1,3,0,6.783276451,2.056359482,6.5,0,3,0
1071951101,22.92469802,2.4,22.47774481,12.7,9.7,19.6,25.32717475,15.8,8.160237389,0,5.440082114,0,22.4,1.18694362,1.3,2.874005645
23005017307,5.638926785,4,13.4122288,4.3,1.5,20.5,10.0307963,5.2,1.479289941,0,2.06775187,0,0,0,3.3,3.255609327
55133204504,9.768907563,1.4,19.92094862,2.5,2,21.5,15.44117647,5.6,0.395256917,0,6.582633053,3.846153846,4.2,0.395256917,0.6,0
41017000602,10.14648089,6.8,18.59243697,0,3.1,17.2,15.78947368,11.4,0,0.681302044,3.022759602,0,4.4,3.991596639,0,0.46230441
6037186401,33.80237649,6.1,52.80777538,33.2,18.4,9.5,27.7673546,10.8,11.77105832,23.92784207,95.59099437,43.5500516,0,26.78185745,14.9,0
29079960200,31.99811499,5.5,22.80912365,21.8,23.4,17.9,27.38317757,14.6,4.681872749,3.773584906,2.897196262,0.915750916,7.6,3.361344538,13.2,0
12087970800,12.999002,1,32.4098275,3.7,8.2,28,13.97927211,11,1.306847883,0.198659051,16.36538925,18.72004511,1.7,2.56142185,1.7,3.518920222
6059062641,6.375227687,2.1,25.08905852,8.7,4.7,25.1,20.09714633,15.1,0.712468193,4.323510432,48.81602914,36.16917842,0,2.188295165,18.2,0
18049953200,20.69986541,10.5,14.12541254,17.4,16.8,15,24.29171039,21.1,2.838283828,0.2230276,9.62749213,0,13.1,0.660066007,3.8,0
35001000121,25.98659717,6.4,36.64623468,10.6,8.9,22.1,22.45266005,15.4,10.20140105,1.69332079,55.7619477,30.32591415,1.7,0,4.2,2.272317403
6013363000,14.35862995,3.9,24.02380067,7.9,2.8,21.3,15.20483546,15.5,5.057642246,5.71906821,66.72934856,15.16295026,0,6.917069543,1.2,0.308932169
9003405100,6.840288673,4.5,27.46071133,3.5,5.1,10.1,24.56521739,9.2,18.69313482,1.207115629,29.56521739,0.984102952,0,0.661703888,5,0.310559006
48303010402,36.62650602,7,26.37889688,19,20.3,10.1,25.20247737,19.5,7.314148681,0.258933195,42.30585993,4.83234714,29,5.395683453,10.3,0.714626012
49035113533,8.304969367,7.1,18.67426942,6.3,7.3,14.2,21.44315861,9.8,3.920171062,0.378877575,27.9555253,0.806451613,0,0.356379187,5.2,0
48453002448,14.49057635,4.3,16.74518201,14.9,7,10,29.39087681,8,1.498929336,10.35450517,83.24228353,0,5.8,3.254817987,0.3,0
24033803513,5.785448127,14.8,22.31196365,2.2,4.8,8.6,23.13710151,8,4.846037355,0.619743249,98.18110698,34.20252064,0,5.50227158,3.8,0
37097061304,11.27491694,3.3,30.54581873,5.8,11.2,11,19.51827243,14.4,7.411116675,2.372062376,20.20348837,16.58079625,5.2,2.303455183,2.1,0
39123050302,11.79746835,2.8,16.98630137,5.1,6.5,44.2,10.51844467,15.7,3.105022831,0.151975684,7.228315055,3.126879134,3,0.365296804,7.3,0.797607178
17031822702,15.78480638,6.9,34.51066961,11.8,9.3,19.3,22.35294118,8.1,4.856512141,7.610789981,37.14705882,17.82553729,0,0,6.8,0.5
37101041106,12.99499317,3.2,19.32181702,5.1,9.5,6,26.59116648,8.4,4.478566859,0,19.72819932,0,3.8,0,2.3,0
55063000600,20.62615101,3.4,19.46607341,1.2,4.9,16.9,17.49539595,7.4,2.224694105,0,3.821362799,1.567398119,0,0,2.7,0
23029956200,33.71522095,15,32.86908078,11.8,10.2,19.9,21.1328976,23,6.220984215,0,7.734204793,6.882022472,9.7,0.649953575,15.4,11.22004357
